Lookback,Asset,Total_Return,Annualized_Return,Annualized_Volatility,Sharpe_Ratio,Max_Drawdown,Avg_Win_Rate,Number_of_Trades,Ulcer_Performance_Index,Profit_Factor
5,BTC,,,0.8037034713473122,,-1.1606376448461946,50.339084029459116,78888,,0.3044054289547574
10,BTC,,,44.87530238011296,,-1.1756690414239195,50.29978831015731,78888,,10.503056036418567
15,BTC,,,28.40260980923608,,-1.203247260550627,50.380914956457815,78888,,5.576612584744623
20,BTC,,,0.35241498404982,,-0.8467844601327498,50.33781642561067,78888,,1.3384307044226043
25,BTC,,,20.718669596654955,,-1.7923591768761675,50.19838000228168,78888,,0.9427357243424345
30,BTC,,,0.22024505322687607,,-0.8468956368082337,50.39992901418449,78888,,1.2374165136136812
35,BTC,,,1.813410779295961,,-1.2165825564202413,50.3441544448529,78888,,1.0842059457866566
40,BTC,,,5244.077964034012,,-3.2630513415992684,50.24654894852261,78888,,86.93573660566116
45,BTC,,,0.40315359483192326,,-1.2170809325844347,50.30105591400576,78888,,1.188489159206208
50,BTC,,,0.13320765028955794,,-0.7812828073396413,50.31880236788398,78888,,1.1608699888228593
55,BTC,,,0.22208291560870447,,-0.854465015751569,50.25922498700706,78888,,1.1913796476592498
60,BTC,,,1.3920998469878343,,-0.9876481297184917,50.26936581779462,78888,,1.843223456536732
65,BTC,,,17.550787172940254,,-2.090925610571985,50.13626741370787,78888,,0.3387273752022334
70,BTC,,,36.479334709954465,,-2.0991743994707077,50.231337702341264,78888,,1.2484485578229392
75,BTC,,,0.5896838427553222,,-1.3280315798324578,50.3973938064876,78888,,0.8315652193917518
80,BTC,,,0.3180233411706856,,-1.2174452604636232,50.4620416027583,78888,,1.131678836187772
85,BTC,,,0.5925973760507957,,-1.3206803824404756,50.443027545031626,78888,,0.9912342664207275
90,BTC,,,24.56055310345839,,-2.1097031873987437,50.226267286947476,78888,,0.46787324800727914
